id,name1,name2,season,rank,time,maxState,斬撃耐性,貫通耐性,打撃耐性,斬撃,貫通,打撃,防御,回避,反撃,M防御,M反撃,憤怒,色欲,怠惰,暴食,憂鬱,傲慢,嫉妬,火傷,出血,振動,破裂,沈潜,呼吸,充電
1012,南部リウ協会 3課,イサン,恒常,3,5,4,0.5,1,2,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
1013,N社E.G.O:: 凶弾,イサン,SEASON 6,3,6,4,0.5,1,2,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0
1014,黒獣 - 午 筆頭,イサン,SEASON 6 [EVENT],3,6,4,0.5,2,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0
1015,蜘蛛の巣 人差し指の親方,イサン,SEASON 7,3,7,4,0.5,2,1,1,1,1,0,1,0,0,0,2,0,0,1,1,1,0,1,0,0,0,1,1,0
1016,LCE E.G.O:: 次元裂き,イサン,SEASON 7,3,7,4,0.5,1,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1
2001,LCB 囚人,ファウスト,恒常,1,0,4,2,0.5,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
2002,W社 2級 整理要員,ファウスト,恒常,2,0,4,1,0.5,2,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
2003,生き残った ロボトミー職員,ファウスト,SEASON 1,2,0,4,0.5,1,2,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
2004,握る者,ファウスト,SEASON 1,3,1,4,2,1,0.5,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
2005,南部ツヴァイ協会 4課,ファウスト,恒常,2,2,4,2,1,0.5,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
2006,南部セブン協会 4課,ファウスト,恒常,3,2,4,1,0.5,2,1,0,0,1,0,0,0,0,0,2,0,1,1,0,1,0,0,0,1,0,0,0
2007,ロボトミーE.G.O:: 後悔,ファウスト,WALPURGISNACHT-I,3,2,4,0.5,2,1,0,0,1,0,0,1,0,0,1,0,1,0,2,1,0,0,0,1,0,0,0,0
2008,剣契 殺手,ファウスト,SEASON 3 [EVENT],3,3,4,0.5,1,2,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
2009,ワザリング・ハイツ バトラー,ファウスト,SEASON 4,2,4,4,1,2,0.5,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
2010,マルチクラック事務所 代表,ファウスト,SEASON 4 [EVENT],3,4,4,1,2,0.5,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
2011,LCE E.G.O:: 紅炎殺,ファウスト,SEASON 5 [EVENT],3,5,4,1,2,0.5,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
2012,黒獣 - 卯 筆頭,ファウスト,SEASON 6,3,6,4,0.5,1,2,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0
2013,東部シ協会 3課,ファウスト,恒常,3,6,4,1,0.5,2,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
2014,人差し指遂行者: 【紙片】,ファウスト,SEASON 7,3,7,4,0.5,2,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0
2015,蜘蛛の巣 薬指の子方,ファウスト,SEASON 7,3,7,4,0.5,1,2,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
2016,夜明事務所 フィクサー,ファウスト,WALPURGISNACHT IX,3,7,4,0.5,2,1,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0,1,0,1,0,0,0,0
3001,LCB 囚人,ドンキホーテ,恒常,1,0,4,1,0.5,2,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
3002,W社 3級 整理要員,ドンキホーテ,恒常,3,0,4,1,0.5,2,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
3003,南部シ協会 5課,ドンキホーテ,恒常,2,0,4,0.5,2,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
3004,N社 中鎚,ドンキホーテ,SEASON 1,2,1,4,0.5,1,2,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
3005,南部センク協会 5課 部長,ドンキホーテ,恒常,3,2,4,2,0.5,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
3006,中指 末妹,ドンキホーテ,SEASON 3,3,3,4,2,1,0.5,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
3007,ロボトミーE.G.O:: 提灯,ドンキホーテ,WALPURGISNACHT-II,2,3,4,1,0.5,2,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
3008,剣契 殺手,ドンキホーテ,SEASON 3 [EVENT],2,3,4,0.5,1,2,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
3009,T社 3級 徴収職職員,ドンキホーテ,恒常,3,4,4,1,2,0.5,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
3010,ラ・マンチャランド 室長,ドンキホーテ,SEASON 5,3,5,4,2,0.5,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
3011,東部センク協会 3課,ドンキホーテ,恒常,3,5,4,2,0.5,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
3012,ロボトミーE.G.O:: 愛と憎悪の名の下に,ドンキホーテ,WALPURGISNACHT-VI,3,6,4,2,0.5,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1
3013,黒獣 - 未,ドンキホーテ,SEASON 6,3,6,4,0.5,2,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0
3014,人差し指代行者 - 開花E.G.O::　代行,ドンキホーテ,SEASON 7,3,7,4,0.5,2,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0
4001,LCB 囚人,良秀,恒常,1,0,4,0.5,1,2,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
4002,南部セブン協会 6課,良秀,恒常,2,0,4,0.5,1,2,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
4003,黒雲会 若衆,良秀,恒常,3,0,4,2,0.5,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
4004,りょ・ミ・パ 厨房長,良秀,SEASON 1 [EVENT],3,1,4,0.5,2,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
4005,W社 3級 整理要員,良秀,恒常,3,2,4,0.5,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
4006,LCCB 係長,良秀,SEASON 3,2,3,4,1,0.5,2,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0
4007,南部リウ協会 4課,良秀,恒常,2,3,4,1,2,0.5,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
4008,エドガー家 チーフバトラー,良秀,SEASON 4,3,4,4,1,2,0.5,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
4009,20区 ユロージヴィ,良秀,SEASON 4 [EVENT],2,4,4,1,0.5,2,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
4010,ロボトミーE.G.O:: 赤眼・懺悔,良秀,WALPURGISNACHT-IV,3,4,4,1,2,0.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
4011,黒獣 - 卯,良秀,SEASON 5 [EVENT],3,5,4,0.5,1,2,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0
4012,N社E.G.O:: 軽蔑、畏敬,良秀,SEASON 6,3,6,4,1,0.5,2,0,1,0,1,0,0,0,0,1,1,2,0,0,0,1,0,1,1,0,0,1,0
4013,鴻園の放浪武者,良秀,SEASON 6,3,6,4,2,0.5,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0
4014,ロボトミーE.G.O:: 残香・寂しさ,良秀,WALPURGISNACHT-VIII,3,7,4,1,0.5,2,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
4015,蜘蛛の巣の刀,良秀,SEASON 7,3,7,4,0.5,2,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
4016,オートクチュール:: ル・ノワール シューズフロア,良秀,SEASON 8,3,8,4,0.5,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
5001,LCB 囚人,ムルソー,恒常,1,0,4,1,2,0.5,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
5002,南部リウ協会 6課,ムルソー,恒常,2,0,4,1,2,0.5,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
5003,W社 2級 整理要員,ムルソー,恒常,3,0,4,1,0.5,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1
5004,N社 大鎚,ムルソー,SEASON 1,3,1,4,1,0.5,2,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
5005,バラのスパナ工房 フィクサー,ムルソー,SEASON 2,2,2,4,0.5,2,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
5006,R社第4群 サイチーム,ムルソー,恒常,3,2,4,1,2,0.5,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1
5007,中指 末弟,ムルソー,SEASON 3,2,3,4,2,1,0.5,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
5008,剣契 頭目,ムルソー,SEASON 3 [EVENT],3,3,4,0.5,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0
5009,デッドラビッツ ボス,ムルソー,SEASON 4,2,4,4,0.5,2,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
5010,南部ディエーチ協会 4課 部長,ムルソー,恒常,3,4,4,2,1,0.5,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
5011,西部センク協会 3課,ムルソー,SEASON 5,3,5,4,1,0.5,2,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0
5012,東部親指 カポIIII,ムルソー,SEASON 6,3,6,4,1,0.5,2,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
5013,ラ・マンチャランドの王子,ムルソー,SEASON 6 [EVENT],3,6,4,0.5,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0
5014,ロボトミーE.G.O:: ホーネット【変調】,ムルソー,WALPURGISNACHT-VIII,3,7,4,1,0.5,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
5015,薬指 野獣派 スチューデント,ムルソー,SEASON 7 [EVENT],3,7,4,1,2,0.5,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0
6001,LCB 囚人,ホンル,恒常,1,0,4,2,1,0.5,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0
6002,黒雲会 若衆,ホンル,恒常,2,0,4,0.5,1,2,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
6003,ぽんぽん派 ボス,ホンル,SEASON 1,3,0,4,0.5,1,2,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
6004,南部リウ協会 5課,ホンル,恒常,2,1,4,1,2,0.5,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
6005,K社 3級 摘出職職員,ホンル,SEASON 2,3,2,4,2,0.5,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
6006,W社 2級 整理要員,ホンル,恒常,2,2,4,0.5,1,2,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
6007,鈎事務所 フィクサー,ホンル,WALPURGISNACHT-I,2,2,4,1,0.5,2,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
6008,南部ディエーチ協会 4課,ホンル,恒常,3,3,4,0.5,2,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
6009,20区 ユロージヴィ,ホンル,SEASON 4 [EVENT],3,4,4,1,0.5,2,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
6010,牙狩事務所 フィクサー,ホンル,SEASON 5,2,5,4,2,0.5,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
6011,終止符事務所 代表,ホンル,WALPURGISNACHT-V,3,5,4,1,0.5,2,2,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0
6012,R社第4群 トナカイチーム,ホンル,恒常,3,5,4,1,2,0.5,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
6013,鴻園の君主,ホンル,SEASON 6,3,6,4,0.5,1,2,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0
6014,蜘蛛の巣 薬指の親方,ホンル,SEASON 7,3,7,4,0.5,1,2,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1
6015,S社 チュノックン,ホンル,SEASON 7 [EVENT],3,7,4,0.5,2,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
6016,東部センク協会 3課,ホンル,恒常,3,7,4,1,0.5,2,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0
7001,LCB 囚人,ヒースクリフ,恒常,1,0,4,2,1,0.5,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
7002,南部シ協会 5課,ヒースクリフ,恒常,2,0,4,0.5,2,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
7003,R社第4群 ウサギチーム,ヒースクリフ,恒常,3,0,4,1,0.5,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1
7004,N社 小鎚,ヒースクリフ,SEASON 1,2,1,4,0.5,1,2,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
7005,ロボトミーE.G.O:: 狐雨,ヒースクリフ,SEASON 2,3,2,4,2,1,0.5,0,1,1,0,0,1,0,0,2,0,1,0,1,0,1,0,0,0,1,1,0,0
7006,南部セブン協会 4課,ヒースクリフ,恒常,2,2,4,1,0.5,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
7007,ピークォド号 銛使い,ヒースクリフ,SEASON 3,3,3,4,2,0.5,1,0,1,0,0,0,1,0,0,2,0,0,0,0,1,1,0,1,0,0,0,1,0
7008,南部ウーフィ協会 3課,ヒースクリフ,恒常,3,3,4,0.5,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
7009,マルチクラック事務所 フィクサー,ヒースクリフ,SEASON 4 [EVENT],2,4,4,1,2,0.5,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
7010,ワイルドハント,ヒースクリフ,SEASON 4,3,4,4,0.5,1,2,1,0,1,0,0,0,0,1,1,2,0,0,1,0,1,0,0,0,0,1,0,0
7011,終止符事務所 フィクサー,ヒースクリフ,WALPURGISNACHT-V,3,5,4,1,0.5,2,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
7012,黒雲会 若衆,ヒースクリフ,SEASON 5 [EVENT],3,5,4,0.5,1,2,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
7013,W社 4級 整理要員 - CCA,ヒースクリフ,SEASON 6 [EVENT],3,6,4,1,2,0.5,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1
7014,黒獣 - 酉 筆頭,ヒースクリフ,SEASON 6,3,6,4,0.5,1,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0
7015,中指 末兄,ヒースクリフ,SEASON 7 [EVENT],3,7,4,2,1,0.5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0
7016,蜘蛛の巣 親指の子方,ヒースクリフ,SEASON 7,3,7,4,0.5,1,2,1,0,0,0,0,0,1,1,1,1,1,0,2,0,0,1,0,1,0,0,0,0
8001,LCB 囚人,イシュメール,恒常,1,0,4,2,1,0.5,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
8002,R社第4群 トナカイチーム,イシュメール,恒常,3,0,4,2,1,0.5,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
8003,南部シ協会 5課,イシュメール,恒常,2,0,4,0.5,2,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
8004,LCCB 係長,イシュメール,SEASON 1,2,0,4,1,2,0.5,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
8005,ロボトミーE.G.O:: たぷつき,イシュメール,SEASON 2,2,2,4,0.5,2,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0
8006,南部リウ協会 4課,イシュメール,恒常,3,2,4,1,2,0.5,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
8007,奥歯ボートセンター フィクサー,イシュメール,SEASON 2 [EVENT],3,2,4,2,0.5,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0
8008,ピークォド号 船長,イシュメール,SEASON 3,3,3,4,1,0.5,2,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0
8009,エドガー家 バトラー,イシュメール,SEASON 4,2,4,4,1,2,0.5,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0
8010,西部ツヴァイ協会 3課,イシュメール,恒常,3,4,4,1,2,0.5,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
8011,黒雲会 副組長,イシュメール,SEASON 5 [EVENT],3,5,4,0.5,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
8012,家主候補,イシュメール,SEASON 6,3,6,4,1,2,0.5,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0
8013,定事務所 代表,イシュメール,WALPURGISNACHT-VII,3,6,4,0.5,1,2,1,0,0,0,0,0,0,1,1,0,1,0,1,2,2,0,0,1,0,1,0,0
8014,蜘蛛の巣 中指の子方,イシュメール,SEASON 7,3,7,4,1,2,0.5,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0
8015,LCD 現場推理チーム,イシュメール,SEASON 7 [EVENT],3,7,4,0.5,1,2,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0
8016,オートクチュール:: ル・ルージュ ブティーク,イシュメール,SEASON 8,3,8,4,1,0.5,2,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1
9001,LCB 囚人,ロージャ,恒常,1,0,4,0.5,2,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
9002,黒雲会 若衆,ロージャ,恒常,3,0,4,0.5,1,2,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
9003,LCCB 係長,ロージャ,SEASON 1,2,0,4,1,2,0.5,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
9004,N社 中鎚,ロージャ,SEASON 1,2,1,4,0.5,1,2,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
9005,バラのスパナ工房 代表,ロージャ,SEASON 2,3,2,4,0.5,2,1,0,1,1,1,0,0,0,0,0,0,2,0,1,1,1,0,0,1,0,0,0,1
9006,南部ツヴァイ協会 5課,ロージャ,恒常,2,2,4,2,1,0.5,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
9007,南部ディエーチ協会 4課,ロージャ,恒常,3,2,4,1,2,0.5,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
9008,南部リウ協会 4課 部長,ロージャ,恒常,3,3,4,2,0.5,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
9009,T社 2級 徴収職職員,ロージャ,恒常,2,4,4,0.5,2,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
9010,北部ヂェーヴィチ協会 3課,ロージャ,恒常,3,4,4,1,0.5,2,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
9011,ラ・マンチャランドの姫,ロージャ,SEASON 5,3,5,4,2,0.5,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0
9012,黒獣 - 巳,ロージャ,SEASON 6,3,6,4,0.5,1,2,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0
9013,ロボトミーE.G.O:: 涙で研ぎ澄まされた剣,ロージャ,WALPURGISNACHT-VI,3,6,4,1,0.5,2,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0
9014,R社第4群 トナカイチーム,ロージャ,恒常,3,6,4,1,2,0.5,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
9015,薬指 野獣派 ドーセント,ロージャ,SEASON 7 [EVENT],3,7,4,1,2,0.5,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0
9016,蜘蛛の巣 親指の親方,ロージャ,SEASON 7,3,7,4,0.5,1,2,1,0,0,0,1,0,0,1,1,2,1,1,2,1,0,1,0,1,0,0,1,0
9017,オートクチュール:: お直し室,ロージャ,SEASON 8,3,8,4,0.5,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1
10001,LCB 囚人,シンクレア,恒常,1,0,4,0.5,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
10002,剣契 殺手,シンクレア,恒常,3,0,4,0.5,2,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
10003,南部ツヴァイ協会 6課,シンクレア,恒常,2,0,4,2,1,0.5,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
10004,マリアッチ ボス,シンクレア,SEASON 1,2,0,4,2,1,0.5,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
10005,握らんとする者,シンクレア,SEASON 1,3,1,4,2,1,0.5,0,0,1,1,0,0,0,0,1,1,0,0,1,2,0,1,1,0,0,0,0,0
10006,ロボトミーE.G.O:: 紅籍,シンクレア,SEASON 2,2,2,4,0.5,1,2,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
10007,奥歯ボートセンター フィクサー,シンクレア,SEASON 2 [EVENT],2,2,4,2,0.5,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
10008,南部センク協会 4課 部長,シンクレア,恒常,3,3,4,2,0.5,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
10009,夜明事務所 フィクサー,シンクレア,WALPURGISNACHT-III,3,4,4,0.5,1,2,1,1,0,1,0,0,0,0,1,2,0,0,1,0,1,1,0,0,0,0,0,0
10010,西部ツヴァイ協会 3課,シンクレア,SEASON 5,2,5,4,1,2,0.5,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
10011,北部ヂェーヴィチ協会 3課,シンクレア,恒常,3,5,4,2,1,0.5,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
10012,中指 末弟,シンクレア,恒常,3,5,4,1,2,0.5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
10013,東部親指 ソルダートII,シンクレア,SEASON 6,3,6,4,2,0.5,1,1,1,0,1,0,0,0,0,1,1,1,0,0,2,0,1,0,1,0,0,0,0
10014,黒獣 - 酉,シンクレア,SEASON 6 [EVENT],3,6,4,0.5,1,2,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0
10015,蜘蛛の巣 小指の子方,シンクレア,SEASON 7,3,7,4,0.5,2,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0
