id,name1,name2,season,rank,time,maxState,斬撃,貫通,打撃,憤怒,色欲,怠惰,暴食,憂鬱,傲慢,嫉妬,憤怒耐性,色欲耐性,怠惰耐性,暴食耐性,憂鬱耐性,傲慢耐性,嫉妬耐性
14009,指令：メルトダウン,ファウスト,COLLABORATION-LIMITED,3,6,4,0,1,0,0,0,1,5,0,2,0,0.75,2,2,0.5,1,1,1
14010,紅炎殺,ファウスト,SEASON 7 [EVENT],3,7,4,0,0,1,3,0,2,0,0,2,0,0.5,2,0.75,1,2,1,1
15001,ラ・サングレ・デ・サンチョ,ドンキホーテ,恒常,1,0,4,0,1,0,0,2,0,0,0,2,0,2,0.75,1,1,2,1,1
15002,水袋,ドンキホーテ,SEASON 1,3,1,4,0,0,1,0,1,0,0,4,2,0,1,0.75,1,1,0.5,2,2
15003,電信柱,ドンキホーテ,恒常,3,1,4,0,1,0,1,0,0,0,2,0,2,1,1,2,2,1,0.75,0.5
15004,一生シチュー,ドンキホーテ,SEASON 1 [EVENT],2,1,5,0,0,1,0,5,0,0,0,0,0,1,0.5,2,1,2,1,1
15005,願いの石,ドンキホーテ,恒常,2,3,4,0,0,1,2,0,2,0,0,1,0,1,1,0.5,2,2,1,1
15006,電気哀鳴,ドンキホーテ,SEASON 4,2,4,4,0,1,0,0,0,0,0,0,2,4,2,1,1,1,1,2,0.5
15007,渇望-ミルカラ,ドンキホーテ,SEASON 5,4,5,4,0,1,0,0,5,0,3,0,2,2,1,0.5,2,0.5,2,0.75,1
15008,紅籍,ドンキホーテ,SEASON 6,3,6,4,1,0,0,0,1,0,5,2,1,0,2,0.75,1,1,1,2,0.5
15009,愛と憎悪の名の下に,ドンキホーテ,WALPURGISNACHT-VI,4,6,4,0,0,1,2,0,0,0,2,2,6,0.5,2,1,2,1,0.5,0.75
15010,私はチョキを出すね、そっちは？,ドンキホーテ,SEASON 7,1,7,4,1,0,0,0,0,0,0,0,0,5,1,1,2,1,2,1,0.75
16001,森羅炎象,良秀,恒常,1,0,4,1,0,0,2,2,0,0,0,0,0,1,0.75,1,2,1,1,2
16002,4本目のマッチの火,良秀,SEASON 1,3,1,5,1,0,0,4,0,0,0,0,2,0,0.5,1,2,1,2,1,0.75
16003,赤眼,良秀,恒常,2,2,4,1,0,0,0,2,0,2,0,0,1,1,0.5,1,2,1,2,1
16004,赤眼(開),良秀,恒常,3,2,4,1,0,0,2,2,0,0,0,0,3,2,1,1,0.75,1,2,0.5
16005,ソーダ,良秀,SEASON 2 [EVENT],1,2,5,0,1,0,0,0,0,2,0,2,2,1,1,2,1,0.75,1,2
16006,盲目,良秀,SEASON 3,2,3,4,1,0,0,0,0,0,0,2,2,2,2,2,1,1,1,0.5,1
16007,軽蔑、畏敬,良秀,SEASON 4,4,4,4,1,0,0,3,4,0,0,0,4,3,0.5,2,0.5,1,2,0.75,1
16008,胸痛,良秀,SEASON 5 [EVENT],3,5,4,1,0,0,1,1,0,0,0,5,0,0.75,1,2,2,1,0.5,1
16009,三千大世界,良秀,SEASON 7,4,7,4,1,0,0,4,4,0,0,0,4,0,0.5,0.75,2,1,1,0.5,2
17001,他人の鎖,ムルソー,恒常,1,0,4,0,0,1,0,0,1,0,1,0,2,1,2,1,2,1,0.75,1
17002,ネジの外れた一撃,ムルソー,SEASON 1,2,1,4,0,0,1,0,0,2,0,0,1,2,2,1,1,1,2,0.5,1
17003,執行,ムルソー,恒常,3,0,4,0,0,1,0,0,4,0,1,2,0,1,2,0.5,2,1,0.75,1
17004,カポーテ,ムルソー,SEASON 2,3,2,4,0,0,1,2,1,2,0,0,0,0,0.5,2,1,0.75,2,1,1
17005,後悔,ムルソー,WALPURGISNACHT-I,2,2,4,0,0,1,3,0,0,0,0,2,0,1,1,1,1,0.5,2,2
17006,電気哀鳴,ムルソー,SEASON 4,2,4,4,0,1,0,1,0,0,0,0,0,4,1,1,2,1,2,1,0.5
17007,渇望-ミルカラ,ムルソー,SEASON 5,4,5,4,0,1,0,0,4,0,0,0,3,4,1,0.5,2,2,1,0.75,0.5
17008,粉砕される過去,ムルソー,SEASON 6 [EVENT],4,6,4,0,0,1,2,2,6,0,0,0,1,2,1,0.5,2,0.5,1,0.75
17009,着影揮刀,ムルソー,SEASON 7 [EVENT],3,7,4,1,0,0,1,0,0,0,0,4,1,1,0.75,2,1,2,0.5,1
18001,虚幻境,ホンル,恒常,1,0,4,0,0,1,0,1,0,0,5,0,0,2,1,1,1,0.75,1,2
18002,桃色の欲望,ホンル,SEASON 1,2,1,4,0,1,0,0,4,0,0,0,0,2,2,0.5,1,1,1,2,1
18003,次元裂き,ホンル,恒常,3,1,4,1,0,0,0,0,0,3,0,3,0,2,0.75,1,1,1,0.5,2
18004,ソーダ,ホンル,SEASON 2 [EVENT],2,2,4,0,0,1,0,0,0,3,2,0,2,1,1,2,0.5,1,1,2
18005,沸き立つ腐食,ホンル,SEASON 3,3,3,4,0,1,0,0,0,0,6,1,0,0,1,2,2,1,0.5,1,0.75
18006,低いなきごえ,ホンル,恒常,2,4,4,0,0,1,0,0,3,0,3,2,0,1,2,0.5,1,1,1,2
18007,投げ縄,ホンル,SEASON 5,2,5,4,0,0,1,0,1,0,4,0,1,0,1,1,2,0.5,2,1,1
18008,汚血泣涙,ホンル,SEASON 6,4,6,4,0,1,0,0,0,0,5,1,0,1,2,1,2,0.5,0.5,1,0.75
18009,寧ろ吾をなさん,ホンル,COLLABORATION-LIMITED,3,6,4,1,0,0,0,0,1,0,2,4,0,1,2,2,1,0.75,0.5,1
19001,死体袋,ヒースクリフ,恒常,1,0,4,0,0,1,0,2,0,0,0,0,2,1,2,1,2,1,1,0.75
19002,電信柱,ヒースクリフ,SEASON 1,3,1,4,0,1,0,3,2,0,0,0,0,3,1,1,2,2,1,0.75,0.5
19003,AEDD,ヒースクリフ,SEASON 2,2,2,4,0,0,1,0,0,0,0,3,0,2,0.5,1,2,1,2,1,1
19004,空即是色,ヒースクリフ,恒常,3,2,4,0,0,1,2,2,2,0,2,0,0,2,0.5,0.75,1,1,1,2
19005,ホリデイ,ヒースクリフ,SEASON 3 [EVENT],1,3,4,0,0,1,0,0,0,3,0,0,2,1,1,1,0.75,2,1,2
19006,拘束,ヒースクリフ,SEASON 4,4,4,4,0,0,1,0,2,0,0,4,2,3,1,1,2,2,0.5,0.5,0.75
19007,凶弾,ヒースクリフ,恒常,2,4,4,0,1,0,1,0,0,0,0,3,2,2,2,1,1,1,0.5,1
19008,偏った慣性,ヒースクリフ,恒常,3,5,4,0,0,1,0,0,2,0,1,2,2,1,1,0.5,1,2,2,0.75
19009,転入届,ヒースクリフ,SEASON 7,2,7,4,0,0,1,2,0,0,1,0,0,3,1,2,1,1,2,1,0.5
20001,銛穿ち,イシュメール,恒常,1,0,4,0,0,1,2,0,0,0,2,0,0,1,2,2,1,0.75,1,1
20002,桃色の欲望,イシュメール,SEASON 1,2,1,4,0,1,0,1,4,0,0,0,0,0,2,0.5,1,1,1,2,1
20003,紅炎殺,イシュメール,恒常,3,0,4,0,1,0,4,2,0,0,0,0,1,0.5,0.75,2,1,2,1,1
20004,カポーテ,イシュメール,SEASON 2,2,2,4,0,0,1,2,2,1,0,0,0,0,0.5,2,1,1,2,1,1
20005,盲目,イシュメール,SEASON 3,4,3,4,0,1,0,2,0,0,0,3,3,3,2,1,0.75,2,1,0.5,0.5
20006,羽ばたき,イシュメール,WALPURGISNACHT-III,3,4,4,1,0,0,0,1,0,3,0,2,0,1,0.75,1,0.5,1,2,2
20007,過ぎし日,イシュメール,恒常,2,4,4,1,0,0,0,2,1,0,3,0,0,1,1,1,2,0.5,1,2
20008,クリスマスの悪夢,イシュメール,SEASON 5 [EVENT],3,5,4,0,0,1,0,0,4,1,0,2,0,2,2,0.5,1,1,0.75,1
20009,蝍蛆殺,イシュメール,SEASON 6,1,6,4,0,0,1,0,0,2,0,0,2,0,0.75,1,2,1,1,1,2
20010,海嘯の悲歌,イシュメール,COLLABORATION-LIMITED,3,6,4,0,0,1,0,0,0,0,4,2,0,1,2,2,1,0.5,0.75,1
21001,投げられたもの,ロージャ,恒常,1,0,4,1,0,0,0,0,0,0,1,3,0,1,1,1,1,2,0.75,2
21002,4本目のマッチの火,ロージャ,SEASON 1,3,1,5,1,0,0,3,0,0,0,0,2,1,0.5,1,2,1,2,1,0.75
21003,氷の脚,ロージャ,SEASON 1,2,1,4,0,0,1,0,0,0,0,5,0,3,2,1,2,1,0.5,1,1
21004,沸き立つ腐食,ロージャ,SEASON 3,2,3,4,0,0,1,0,0,2,0,2,2,0,1,2,1,0.5,1,1,2
21005,執行,ロージャ,恒常,3,3,4,1,0,0,0,0,4,0,0,3,0,1,2,0.75,2,1,0.5,1
21006,血色の欲望,ロージャ,WALPURGISNACHT-III,4,4,4,1,0,0,1,3,0,0,0,3,3,0.75,0.5,2,1,2,1,0.5
21007,呪いの釘,ロージャ,SEASON 5,3,5,4,1,0,0,0,2,0,0,0,1,4,1,0.75,2,2,1,1,0.5
21008,指定裁判,ロージャ,SEASON 5,4,5,4,0,1,0,7,0,0,0,0,3,0,0.5,2,1,0.75,2,0.5,1
21009,夕焼けの中へ,ロージャ,SEASON 7 [EVENT],1,7,4,0,0,1,2,3,0,0,0,0,0,1,0.75,1,2,2,1,1
22001,知識の木の枝,シンクレア,恒常,1,0,4,1,0,0,1,0,0,3,0,0,0,2,1,1,0.75,1,2,1
22002,迫り来る日,シンクレア,SEASON 1,2,1,4,0,0,1,3,2,0,0,0,0,0,0.5,1,2,1,2,1,1
22003,一生シチュー,シンクレア,SEASON 1 [EVENT],2,1,5,0,0,1,3,2,0,1,0,0,0,1,0.5,2,1,2,1,1
22004,提灯,シンクレア,恒常,3,2,4,1,0,0,0,1,0,4,0,2,0,2,2,1,0.5,0.75,1,1
22005,9章2節,シンクレア,SEASON 3,3,3,4,0,0,1,2,5,0,0,0,0,1,0.5,0.75,1,1,2,2,1
22006,低いなきごえ,シンクレア,恒常,1,4,4,0,0,1,0,1,2,0,3,0,0,1,1,1,2,0.75,1,2
22007,呪いの釘,シンクレア,SEASON 5,2,5,4,0,1,0,0,2,0,0,0,2,2,1,1,2,2,1,1,0.5
22008,汚血泣涙,シンクレア,SEASON 6,4,6,4,0,1,0,0,2,0,6,0,2,0,2,0.75,1,0.5,0.5,2,1
22009,ハーモニー,シンクレア,WALPURGISNACHT-VIII,3,7,4,1,0,0,3,2,1,0,0,1,1,0.5,0.75,1,1,2,2,1
23001,ト・パソス・マソス,ウーティス,恒常,1,0,4,0,1,0,0,0,2,0,0,2,0,1,2,1,1,1,0.75,2
23002,黒い枝,ウーティス,SEASON 1,3,1,4,0,1,0,0,2,0,3,1,4,0,2,1,1,0.5,0.75,2,1
23003,空即是色,ウーティス,恒常,2,0,4,1,0,0,0,2,2,0,0,2,0,1,0.5,2,1,2,1,1
23004,狐雨,ウーティス,SEASON 2,2,2,4,0,1,0,0,0,2,2,1,0,0,2,2,0.5,1,1,1,1
23005,ホリデイ,ウーティス,SEASON 3 [EVENT],3,3,4,0,0,1,0,2,1,0,0,3,2,0.5,1,1,0.75,2,1,2
23006,拘束,ウーティス,SEASON 4,4,4,4,0,0,1,1,1,4,0,0,4,0,1,1,2,2,0.5,0.5,0.75
23007,次元裂き,ウーティス,SEASON 4 [EVENT],3,4,4,1,0,0,1,0,0,0,3,1,4,2,0.75,1,1,2,1,0.5
23008,魔弾,ウーティス,WALPURGISNACHT-V,3,5,4,0,1,0,2,2,0,0,0,4,0,0.75,1,2,1,1,0.5,2
23009,私はチョキを出すね、そっちは？,ウーティス,SEASON 7,1,7,4,1,0,0,0,1,0,0,0,0,3,1,1,2,1,2,1,0.75
24001,ある日突然,グレゴール,恒常,1,0,4,0,0,1,0,3,0,0,1,0,0,1,1,0.75,1,2,1,2
24002,まやかし,グレゴール,SEASON 1,1,1,4,0,0,1,0,0,1,3,0,0,0,2,1,2,0.75,1,1,1
24003,提灯,グレゴール,恒常,2,0,4,0,1,0,0,0,1,4,0,0,0,2,1,1,0.5,1,2,1
24004,AEDD,グレゴール,SEASON 2,3,2,4,0,0,1,0,0,0,0,3,0,3,0.5,1,2,1,2,1,0.75
24005,茨の花園,グレゴール,SEASON 3,4,3,4,1,0,0,2,2,2,2,2,2,2,2,0.5,1,2,1,0.75,0.5
24006,過ぎし日,グレゴール,SEASON 4,2,4,4,0,1,0,0,2,0,0,4,0,0,1,2,1,1,0.5,1,2
24007,厳粛な哀悼,グレゴール,WALPURGISNACHT-IV,3,4,4,0,0,1,0,1,2,0,2,0,2,2,1,1,2,0.75,1,0.5
24008,クリスマスの悪夢,グレゴール,SEASON 5 [EVENT],3,5,4,1,0,0,0,0,2,2,2,2,0,1,2,0.5,1,0.75,2,1
24009,輝かざる栄光,グレゴール,COLLABORATION-LIMITED,4,6,4,1,0,0,2,0,3,0,0,2,0,0.5,1,0.5,2,1,0.75,2
24010,転入届,グレゴール,SEASON 5,4,7,4,0,0,1,1,0,0,0,0,0,5,1,2,2,1,1,1,0.5
